Brassica,https://en.wikipedia.org/wiki/Brassicas,,Brassica,
Ethiopian mustard,https://en.wikipedia.org/wiki/Brassica_carinata,Brassica,Brassica carinata,Abyssinian mustard
elongated mustard,https://en.wikipedia.org/wiki/Brassica_elongata,Brassica,Brassica elongata,
Mediterranean cabbage,https://en.wikipedia.org/wiki/Brassica_fruticulosa,Brassica,Brassica fruticulosa,twiggy turnip
mustard greens,https://en.wikipedia.org/wiki/Brassica_juncea,Brassica,Brassica juncea,"Indian mustard, Chinese mustard, leaf mustard, kai choi"
rutabaga,https://en.wikipedia.org/wiki/Rutabaga,Brassica,"Brassica napobrassica, Brassica napus var. napobrassica","swede, Swedish turnip, turnip, yellow turnip, neep"
rapeseed,https://en.wikipedia.org/wiki/Brassica_napus,Brassica,Brassica napus," rape, oilseed rape, rapa, rappi, rapaseed, canola"
tatsoi,https://en.wikipedia.org/wiki/Brassica_narinosa,Brassica,"Brassica narinosa, Brassica rapa var. rosularis","spinach mustard, spoon mustard, Rosette bok choy"
black mustard,https://en.wikipedia.org/wiki/Brassica_nigra,Brassica,Brassica nigra,
Brassica oleracea,https://en.wikipedia.org/wiki/Brassica_oleracea,Brassica,Brassica oleracea,wild mustard
Brassica oleracea Acephela group,https://en.wikipedia.org/wiki/Acephala_group,Brassica,Brassica oleracea Acephala group,
kai lan,https://en.wikipedia.org/wiki/Kai-lan,Brassica,Brassica oleracea Alboglabra Group,"Chinese broccoli, Chinese kale, gai-lan"
Brassica rapa,https://en.wikipedia.org/wiki/Brassica_rapa,Brassica,Brassica rapa,
kohlrabi,https://en.wikipedia.org/wiki/Kohlrabi,Brassica oleracea,Brassica oleracea,"German turnip, German cabbage, turnip cabbage"
spring greens,https://en.wikipedia.org/wiki/Spring_greens,Brassica oleracea,Brassica oleracea Acephala group,
cauliflower,https://en.wikipedia.org/wiki/Cauliflower,Brassica oleracea,Brassica oleracea Botrytis group,
Romanesco broccoli,https://en.wikipedia.org/wiki/Romanesco_broccoli,Brassica oleracea,Brassica oleracea Botrytis group,"Romanesque cauliflower, Romanesco"
broccoflower,https://en.wikipedia.org/wiki/Broccoflower,Brassica oleracea,Brassica oleracea Botrytis group,
cabbage,https://en.wikipedia.org/wiki/Cabbage,Brassica oleracea,Brassica oleracea Capitata group,
red cabbage,https://en.wikipedia.org/wiki/Red_cabbage,Brassica oleracea,Brassica oleracea Capitata group,"purple cabbage, red kraut, blue kraut"
broccolini,https://en.wikipedia.org/wiki/Broccolini,Brassica oleracea,Brassica oleracea Capitata group x Alboglabra Group,"tenderstem broccoli, broccolette"
Brussels sprouts,https://en.wikipedia.org/wiki/Brussels_sprouts,Brassica oleracea,Brassica oleracea Gemmifera group,
broccoli,https://en.wikipedia.org/wiki/Broccoli,Brassica oleracea,Brassica oleracea Italica group,
Savoy cabbage,https://en.wikipedia.org/wiki/Savoy_cabbage,Brassica oleracea,Brassica oleracea var. sabauda,
January king cabbage,https://en.wikipedia.org/wiki/January_King_Cabbage,Brassica oleracea,Brassica oleracea var. sabauda,
collard greens,https://en.wikipedia.org/wiki/Collard_greens,Brassica oleracea Acephela group,Brassica oleracea Acephala group,Dalmatian cabbage
kale,https://en.wikipedia.org/wiki/Kale,Brassica oleracea Acephela group,Brassica oleracea Acephala group,borecole
mizuna,https://en.wikipedia.org/wiki/Mizuna,Brassica rapa,"Brassica rapa nipposinica, Brassica juncea var. japonica","shui cai, kyona, Japanese mustard, potherb mustard, Japanese greens, California peppergrass, spider mustard"
napa cabbage,https://en.wikipedia.org/wiki/Napa_cabbage,Brassica rapa,Brassica rapa subsp. pekinensis,"nappa cabbage, celery cabbage"
rapini,https://en.wikipedia.org/wiki/Rapini,Brassica rapa,"Brassica rapa subspecies rapa, Brassica rapa ruvo, Brassica rapa rapifera
","broccoli raab, broccoli rabe"
turnip,https://en.wikipedia.org/wiki/Turnip,Brassica rapa,Brassica rapa subspecies rapa,white turnip
choy sum,https://en.wikipedia.org/wiki/Choy_sum,Brassica rapa,"Brassica rapa var. parachinensis, Brassica chinensis var. parachinensis
","choi sum, Chinese flowering cabbage"
komatsuna,https://en.wikipedia.org/wiki/Komatsuna,Brassica rapa,Brassica rapa var. perviridis,Japanese mustard spinach
lacinato kale,https://en.wikipedia.org/wiki/Lacinato_kale,kale,Brassica oleracea Acephala group,"Tuscan kale, Tuscan cabbage, Italian kale, Dinosaur kale, cavolo nero, cavalo nero, black kale, flat back cabbage, palm tree kale, black Tuscan palm"
