squash,http://en.wikipedia.org/wiki/Squash_(plant),,Cucurbita,,
Japanese pie pumpkin,http://en.wikipedia.org/wiki/Cucurbita_argyrosperma,squash,Cucurbita argyosperma,"pipian, cushaw pumpkin",
seven year melon,http://en.wikipedia.org/wiki/Cucurbita_ficifolia,squash,Cucurbita ficifolia,"Siam pumpkin, Thai marrow, thin Vermicelli pumpkin, Asian pumpkin, fig-leaf gourd, pie melon, Malabar gourd, Malabar squash, shark's-fin gourd, shark's-fin melon",
Cucurbita maxima,http://en.wikipedia.org/wiki/Cucurbita_maxima,squash,Cucurbita maxima,,
Cucurbita moschata,http://en.wikipedia.org/wiki/Cucurbita_moschata,squash,Cucurbita moschata,,
Cucurbita pepo,http://en.wikipedia.org/wiki/Cucurbita_pepo,squash,Cucurbita pepo,,
kabocha,http://en.wikipedia.org/wiki/Kabocha,Cucurbita maxima,Cucurbita maxima,"kabocha squash, Japanese pumpkin",
turban squash,http://en.wikipedia.org/wiki/Turban_squash,Cucurbita maxima,Cucurbita maxima,"Turk's turban, French turban",
red kuri squash,http://en.wikipedia.org/wiki/Red_kuri_squash,Cucurbita maxima,Cucurbita maxima,"Japanese squash, orange Hokkaido squash, baby red Hubbard squash, Uchiki kuri squash",
butternut squash,http://en.wikipedia.org/wiki/Butternut_squash,Cucurbita moschata,Cucurbita moschata,butternut pumpkin,
tromboncino,http://en.wikipedia.org/wiki/Tromboncino_(squash),Cucurbita moschata,Cucurbita moschata,zucchetta,
acorn squash,http://en.wikipedia.org/wiki/Acorn_squash,Cucurbita pepo,Cucurbita pepo var. turbinata,"pepper squash, Des Moines squash",
yellow crookneck squash,http://en.wikipedia.org/wiki/Yellow_crookneck_squash,Cucurbita pepo,Cucurbita pepo var. torticollia,,
pumpkin,http://en.wikipedia.org/wiki/Pumpkin,Cucurbita pepo,Cucurbita pepo var. pepo,,Appears no varieties have their own wikipedia pages
pattypan squash ,http://en.wikipedia.org/wiki/Pattypan_squash,Cucurbita pepo,Cucurbita pepo var. clypeata,"scallop squash, sunburst squash, granny squash, custard marrow, custard squash, cibleme, white squash, scallopini squash, schwoughksie squash",
yellow summer squash,http://en.wikipedia.org/wiki/Yellow_summer_squash,Cucurbita pepo,Cucurbita pepo var. recticollis,straightneck squash,
spaghetti squash,http://en.wikipedia.org/wiki/Spaghetti_squash,Cucurbita pepo,Cucurbita pepo var. fastigata,"vegetable spaghetti, noodle squash, vegetable marrow, spaghetti marrow, squaghetti",
zucchini,http://en.wikipedia.org/wiki/Zucchini,Cucurbita pepo,Cucurbita pepo var. cylindrica,courgette,
Delicata squash,http://en.wikipedia.org/wiki/Delicata_squash,Cucurbita pepo,Cucurbita pepo var. pepo,"peanut squash, Bohemian squash, sweet potato squash",
gem squash,http://en.wikipedia.org/wiki/Gem_squash,Cucurbita pepo,Cucurbita pepo,,
